state,primary_fuel,capacity_mw,generation_gwh,capacity_factor
Alabama,Hydro,53.9,40.4801428571429,0.085733225864621
Alabama,Gas,2569.5,12119.5565857143,0.538435892495221
Alabama,Hydro,225,638.840714285714,0.324120098572153
Alabama,Gas,138,138.894714857143,0.11489536997646
Alabama,Gas,1288.4,1633.15244014286,0.144701123065001
Alabama,Hydro,72.9,218.676285714286,0.342428618853445
Alabama,Hydro,46.9,131.178285714286,0.319289768657412
Alabama,Hydro,100,346.336428571429,0.395361219830398
Alabama,Hydro,128.1,381.312428571429,0.339803403957586
Alabama,Hydro,177,592.971142857143,0.382433727302545
Alabama,Hydro,210.6,347.706857142857,0.188473711304762
Alabama,Hydro,170,498.247285714286,0.334573788419477
Alabama,Hydro,181,270.117857142857,0.170361170276027
Alabama,Hydro,91,223.836142857143,0.280791990136413
Alabama,Hydro,87.6,233.516571428571,0.304305283757339
Alabama,Hydro,50.5,136.447285714286,0.308439092441534
Alabama,Gas,2034,5856.66156528571,0.328696495494724
Alabama,Hydro,101.1,301.645285714286,0.340597362476554
Alabama,Nuclear,3494,27158.0414285714,0.887301957581929
Alabama,Gas,476,1357.96785557143,0.325670507552336
Alabama,Hydro,115.2,703.732285714286,0.6973501372581
Alabama,Hydro,404,1445.03157142857,0.408311737484903
Alabama,Hydro,3,4.33014285714286,0.164769515111981
Alabama,Hydro,5.2,12.4811428571429,0.273997691805911
Alabama,Coal,538,1464.22870328571,0.310686608461432
Alabama,Gas,654,3674.743746,0.641423998785137
Alabama,Hydro,173,404.296285714286,0.266777711163648
Alabama,Hydro,38.6,151.117,0.446911893439326
Alabama,Hydro,168,416.112428571429,0.282746540396981
Alabama,Nuclear,1776.4,14225.4938571429,0.914160562865771
Alabama,Coal,2822,2641.56396714286,0.10685627146551
Alabama,Hydro,82,258.580142857143,0.359979038391167
Alabama,Oil,14,0,0
Alabama,Hydro,135,154.975571428571,0.131046483535068
Alabama,Hydro,666.7,2709.87328571429,0.463996198428826
Alabama,Gas,676,276.364571142857,0.04666932991929
Alabama,Gas,122.5,810.069285714286,0.754887042879774
Alabama,Gas,97,505.125857142857,0.594461536909637
Alabama,Gas,1995.7,11244.1602857143,0.643172792148913
Alabama,Gas,317.4,1464.38885714286,0.526678253799729
Alabama,Gas,1304,5503.12385714286,0.481756507649702
Alabama,Oil,4,0,0
Alabama,Biomass,48,214.543005428571,0.510233555528376
Alabama,Biomass,87.5,262.876428857143,0.342956854347218
Alabama,Gas,25,16.7638171428571,0.076547110241357
Alabama,Biomass,89.8,488.99157,0.621614203557373
Alabama,Gas,104.2,167.115999571429,0.183082235132898
Alabama,Biomass,17.9,55.5235712857143,0.354095375664615
Alabama,Biomass,69,331.272348571429,0.548064900687295
Alabama,Gas,12,79.2121971428571,0.753540688193085
Alabama,Gas,3.4,16.2178571428571,0.544515751506082
Alabama,Waste,77.4,464.797315,0.685517496430805
Alabama,Biomass,47.4,140.017498714286,0.337209551264584
Alabama,Biomass,103.4,330.335763571429,0.364695957945193
Alabama,Biomass,120.5,786.996253428571,0.745558132428211
Alabama,Oil,8.6,0.744428571428571,0.009881445410276
Alabama,Biomass,15.6,121.978952857143,0.892598589576329
Alabama,Gas,103,9.31742857142857,0.010326537850145
Alabama,Gas,280,260.426428571429,0.106175158419532
Alabama,Gas,939.4,1306.65357485714,0.158783656581674
Alabama,Gas,902.4,1871.83171428571,0.236790136789681
Alabama,Gas,900,4028.77214285714,0.511006106399942
Alabama,Gas,748,132.215998142857,0.020178008653648
Alabama,Gas,822.8,4518.227,0.626858699440378
Alabama,Gas,927.1,1432.04928571429,0.176330434535428
Alabama,Gas,98.6,35.9991428571429,0.041678409672797
Alabama,Gas,3.8,6.26742857142857,0.188278916469255
Alabama,Waste,13,30.7081428571429,0.269653519995986
Alabama,Waste,1.6,12.0028571428571,0.856368232224397
Alabama,Waste,4.8,28.9403333333333,0.688268962455606
Alabama,Solar,75,119.73475,0.182244672754947
Alabama,Solar,79.2,111.275333333333,0.160387166951094
Alabama,Solar,10.6,14.6016666666667,0.157250653341374
Alabama,Solar,7.4,11.2353333333333,0.173320580854827
Alabama,Solar,11,12.20108,0.126619759236198
Alabama,Solar,14.7,13.58,0.105457708197434
Alabama,Gas,50,257.522,0.587949771689498
Alaska,Oil,4,3.78,0.107876712328767
Alaska,Hydro,4,25.3801428571429,0.724319145466406
Alaska,Oil,9.7,4.35271428571429,0.051225277570427
Alaska,Oil,61.7,0.081,0.000149863457739
Alaska,Hydro,8.5,26.6001428571429,0.357240704500978
Alaska,Oil,4.4,2.68457142857143,0.069649528553638
Alaska,Oil,8.1,0.193714285714286,0.002730062090793
Alaska,Hydro,22.6,64.4248571428571,0.325417510924845
Alaska,Hydro,33.6,127.185,0.432108202870189
Alaska,Gas,77.9,34.7665571428571,0.050947176662003
Alaska,Hydro,44.4,117.218714285714,0.301376841616568
Alaska,Hydro,78.2,270.932714285714,0.39550373454921
Alaska,Coal,27.5,26.6701428571429,0.11071043112139
Alaska,Hydro,4.2,20.775,0.564660795825179
Alaska,Oil,25.9,-29.4287142857143,-0.129708195755162
Alaska,Oil,19.2,31.6595714285714,0.188234704555338
Alaska,Oil,14.5,12.3371485714286,0.097127606451178
Alaska,Oil,15.6,0.184714285714286,0.001351673440715
Alaska,Hydro,15.9,56.6172857142857,0.40648807985329
Alaska,Oil,8.5,0.566,0.007601396723073
Alaska,Gas,312.4,467.063285714286,0.170671340203947
Alaska,Oil,11,18.5762857142857,0.192780050999229
Alaska,Hydro,18.6,53.5797142857143,0.328839018299911
